Model,MAE,MSE,RMSE,R² Score
GradientBoostingRegressor,0.03795000842112312,0.002408458448906298,0.0490760476088519,0.858429195879395
ExtraTreesRegressor,0.03677333333333339,0.0024679315555555664,0.049678280521326085,0.8549333267537679
RandomForestRegressor,0.03699888888888895,0.002460542777777784,0.04960385849687284,0.855367644070699
CatBoostRegressor,0.039221761346740824,0.0025136794910825336,0.05013660829256935,0.852244232398683
AdaBoostRegressor,0.0409000007197164,0.0028743621703248958,0.05361307835150763,0.8310430624320999
Lasso,0.07433490435063315,0.007961546925986667,0.08922750095114548,0.5320149281098459
Ridge,0.04932864403293282,0.003816158702295096,0.06177506537669625,0.7756836301738581
KNeighborsRegressor,0.05695555555555557,0.004928844444444445,0.07020572942747938,0.7102792154449479
ElasticNet,0.06793385970250256,0.006611515575720855,0.08131122662782092,0.6113706769839643
